Date,Julian,Time,Hour,Site,Location,Temperature (C),Species ID,Grouping,Grouping_no,Count,"In Water (0=no, 1=yes)","Predation (0=no, 1=yes)",Comments
5/18/2022,138,16:48:01,16,Carse Brook,,17,Angler,Angler,1,1,1,0,
5/18/2022,138,16:13:15,16,Carse Brook,,17,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/18/2022,138,16:11:46,16,Carse Brook,,17,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/23/2022,143,6:30:22,6,Carse Brook,,13,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/24/2022,144,11:26:50,11,Carse Brook,,16,Common Merganser,Common Merganser,3,1,1,0,
5/24/2022,144,13:25:35,13,Carse Brook,,17,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/24/2022,144,13:24:30,13,Carse Brook,,17,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/24/2022,144,2:23:26,2,Carse Brook,,12,Raccoon,Raccoon,6,1,1,0,
5/24/2022,144,1:56:42,1,Carse Brook,,12,Raccoon,Raccoon,6,1,1,0,
5/25/2022,145,16:45:35,16,Carse Brook,,21,Angler,Angler,1,1,1,0,
5/25/2022,145,20:07:08,20,Carse Brook,,17,Angler,Angler,1,1,1,0,
5/25/2022,145,10:55:43,10,Carse Brook,,16,Common Merganser,Common Merganser,3,7,1,0,
5/25/2022,145,4:43:59,4,Carse Brook,,8,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/25/2022,145,11:20:41,11,Carse Brook,,17,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/25/2022,145,1:50:37,1,Carse Brook,,10,Raccoon,Raccoon,6,1,0,0,
5/26/2022,146,11:54:13,11,Carse Brook,,17,Angler,Angler,1,1,1,0,
5/26/2022,146,13:27:59,13,Carse Brook,,18,Angler,Angler,1,1,1,0,
5/26/2022,146,14:08:44,14,Carse Brook,,18,Angler,Angler,1,1,1,0,
5/26/2022,146,6:58:39,6,Carse Brook,,10,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/26/2022,146,18:15:12,18,Carse Brook,,18,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/27/2022,147,13:55:42,13,Carse Brook,,22,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/27/2022,147,2:08:37,2,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
5/28/2022,148,12:07:07,12,Carse Brook,,18,Angler,Angler,1,1,1,0,
5/28/2022,148,13:33:53,13,Carse Brook,,17,Angler,Angler,1,1,1,0,
5/29/2022,149,7:18:19,7,Carse Brook,,11,Common Merganser,Common Merganser,3,8,1,0,
5/29/2022,149,20:14:37,20,Carse Brook,,17,Great Blue Heron,Great Blue Heron,4,1,1,0,
5/30/2022,150,16:53:42,16,Carse Brook,,26,Common Merganser,Common Merganser,3,2,1,0,
5/31/2022,151,8:21:19,8,Carse Brook,,22,Common Merganser,Common Merganser,3,1,1,0,
5/31/2022,151,10:24:52,10,Carse Brook,,25,Common Merganser,Common Merganser,3,1,1,0,
5/31/2022,151,10:26:06,10,Carse Brook,,25,Common Merganser,Common Merganser,3,2,1,0,
6/1/2022,152,12:06:56,12,Carse Brook,,20,Angler,Angler,1,1,1,0,
6/1/2022,152,13:17:53,13,Carse Brook,,20,Angler,Angler,1,1,1,0,
6/1/2022,152,14:31:58,14,Carse Brook,,16,Great Blue Heron,Great Blue Heron,4,1,1,0,
6/2/2022,153,12:42:45,12,Carse Brook,,21,Angler,Angler,1,1,1,0,
6/2/2022,153,23:49:29,23,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
6/3/2022,154,20:35:43,20,Carse Brook,,17,Great Blue Heron,Great Blue Heron,4,1,1,0,
6/3/2022,154,0:58:30,0,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
6/3/2022,154,23:50:06,23,Carse Brook,,14,Raccoon,Raccoon,6,1,1,0,
6/4/2022,155,8:40:49,8,Carse Brook,,16,Angler,Angler,1,1,1,0,
6/4/2022,155,17:51:49,17,Carse Brook,,25,Common Merganser,Common Merganser,3,2,1,0,
6/4/2022,155,18:13:36,18,Carse Brook,,25,Common Merganser,Common Merganser,3,2,1,0,
6/4/2022,155,3:15:24,3,Carse Brook,,12,Raccoon,Raccoon,6,1,1,0,
6/4/2022,155,21:12:15,21,Carse Brook,,16,Raccoon,Raccoon,6,1,1,0,
6/4/2022,155,23:06:27,23,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
6/5/2022,156,17:12:42,17,Carse Brook,,21,Angler,Angler,1,1,1,0,
6/5/2022,156,21:07:03,21,Carse Brook,,15,Angler,Angler,1,1,1,0,
6/5/2022,156,5:39:50,5,Carse Brook,,7,Great Blue Heron,Great Blue Heron,4,1,1,0,
6/5/2022,156,16:04:20,16,Carse Brook,,21,Person,Person,5,1,0,0,
6/5/2022,156,1:18:09,1,Carse Brook,,11,Raccoon,Raccoon,6,1,1,0,
6/6/2022,157,20:09:29,20,Carse Brook,,18,Angler,Angler,1,2,0,0,
6/6/2022,157,20:16:53,20,Carse Brook,,18,Angler,Angler,1,2,1,0,
6/6/2022,157,8:44:55,8,Carse Brook,,16,Common Merganser,Common Merganser,3,2,1,0,
6/6/2022,157,10:11:03,10,Carse Brook,,17,Common Merganser,Common Merganser,3,3,1,0,
6/6/2022,157,9:57:28,9,Carse Brook,,17,Great Blue Heron,Great Blue Heron,4,1,1,0,
6/6/2022,157,21:05:02,21,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
6/7/2022,158,7:09:26,7,Carse Brook,,11,Common Merganser,Common Merganser,3,8,1,0,
6/7/2022,158,0:28:54,0,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
6/8/2022,159,16:25:33,16,Carse Brook,,22,Angler,Angler,1,3,0,0,
6/8/2022,159,16:18:56,16,Carse Brook,,22,Angler,Angler,1,1,1,0,
6/8/2022,159,16:21:53,16,Carse Brook,,22,Angler,Angler,1,1,1,0,
6/8/2022,159,16:23:33,16,Carse Brook,,22,Angler,Angler,1,1,1,0,
6/8/2022,159,17:32:57,17,Carse Brook,,22,Angler,Angler,1,3,0,0,
6/8/2022,159,17:12:20,17,Carse Brook,,22,Angler,Angler,1,1,1,0,
6/8/2022,159,2:41:54,2,Carse Brook,,16,Raccoon,Raccoon,6,1,1,0,
6/8/2022,159,21:36:08,21,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
6/9/2022,160,19:49:27,19,Carse Brook,,18,Common Merganser,Common Merganser,3,4,1,0,
6/10/2022,161,5:47:06,5,Carse Brook,,11,Common Merganser,Common Merganser,3,5,1,0,
6/11/2022,162,9:09:53,9,Carse Brook,,15,Angler,Angler,1,1,1,0,
6/11/2022,162,11:22:33,11,Carse Brook,,21,Common Merganser,Common Merganser,3,1,1,0,
6/12/2022,163,8:26:48,8,Carse Brook,,15,Common Merganser,Common Merganser,3,1,1,0,
6/12/2022,163,21:09:49,21,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
6/13/2022,164,0:10:02,0,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
6/13/2022,164,2:23:16,2,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
6/14/2022,165,1:47:58,1,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
6/15/2022,166,10:40:34,10,Carse Brook,,23,Angler,Angler,1,1,1,0,
6/15/2022,166,8:41:59,8,Carse Brook,,21,Common Merganser,Common Merganser,3,7,1,0,
6/15/2022,166,8:25:37,8,Carse Brook,,18,Common Merganser,Common Merganser,3,6,1,0,
6/15/2022,166,8:29:44,8,Carse Brook,,20,Common Merganser,Common Merganser,3,6,1,0,
6/15/2022,166,9:17:44,9,Carse Brook,,21,Common Merganser,Common Merganser,3,1,1,0,
6/15/2022,166,2:42:36,2,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
6/17/2022,168,13:47:33,13,Carse Brook,,21,Common Merganser,Common Merganser,3,8,1,0,
6/17/2022,168,3:56:01,3,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
6/18/2022,169,17:54:50,17,Carse Brook,,13,Angler,Angler,1,1,0,0,
6/18/2022,169,1:34:28,1,Carse Brook,,16,Raccoon,Raccoon,6,1,1,0,
6/18/2022,169,4:38:05,4,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
6/19/2022,170,3:32:18,3,Carse Brook,,11,Raccoon,Raccoon,6,1,1,0,
6/19/2022,170,21:15:58,21,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
6/19/2022,170,23:09:06,23,Carse Brook,,12,River Otter,River Otter,8,3,1,0,
6/20/2022,171,6:36:10,6,Carse Brook,,7,Angler,Angler,1,1,1,0,
6/20/2022,171,9:48:27,9,Carse Brook,,16,Angler,Angler,1,1,0,0,
6/20/2022,171,20:11:20,20,Carse Brook,,18,Angler,Angler,1,2,0,0,
6/20/2022,171,3:08:41,3,Carse Brook,,8,Raccoon,Raccoon,6,1,1,0,
6/21/2022,172,18:16:24,18,Carse Brook,,17,Common Merganser,Common Merganser,3,2,1,0,
6/22/2022,173,5:00:32,5,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
6/22/2022,173,21:08:02,21,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
6/23/2022,174,0:01:20,0,Carse Brook,,14,Bobcat,Carnivore,2,1,0,0,
6/24/2022,175,1:28:25,1,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
6/24/2022,175,3:20:50,3,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
6/24/2022,175,3:22:34,3,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
6/24/2022,175,21:21:02,21,Carse Brook,,20,Raccoon,Raccoon,6,1,1,0,
6/25/2022,176,17:28:57,17,Carse Brook,,27,Angler,Angler,1,1,0,0,
6/25/2022,176,11:31:02,11,Carse Brook,,26,Person,Person,5,1,0,0,
6/25/2022,176,2:31:00,2,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
6/26/2022,177,19:37:57,19,Carse Brook,,25,Great Blue Heron,Great Blue Heron,4,1,0,0,
6/26/2022,177,0:35:42,0,Carse Brook,,16,Raccoon,Raccoon,6,1,1,0,
6/26/2022,177,1:02:45,1,Carse Brook,,16,Raccoon,Raccoon,6,1,1,0,
6/26/2022,177,19:37:57,19,Carse Brook,,25,Raccoon,Raccoon,6,1,1,0,
6/26/2022,177,21:43:36,21,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
6/27/2022,178,0:36:42,0,Carse Brook,,20,Raccoon,Raccoon,6,1,1,0,
6/28/2022,179,4:18:35,4,Carse Brook,,12,Raccoon,Raccoon,6,1,1,0,
6/28/2022,179,21:28:23,21,Carse Brook,,16,Raccoon,Raccoon,6,1,0,0,
6/28/2022,179,22:07:21,22,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
6/28/2022,179,23:43:30,23,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
6/28/2022,179,23:44:14,23,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
6/28/2022,179,23:45:13,23,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
6/28/2022,179,23:46:00,23,Carse Brook,,14,Raccoon,Raccoon,6,1,1,0,
6/29/2022,180,13:38:18,13,Carse Brook,,25,Angler,Angler,1,1,0,0,
6/30/2022,181,1:52:04,1,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
6/30/2022,181,4:38:51,4,Carse Brook,,13,Raccoon,Raccoon,6,1,1,0,
6/30/2022,181,23:19:44,23,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
7/1/2022,182,2:40:28,2,Carse Brook,,15,Raccoon,Raccoon,6,1,1,0,
7/1/2022,182,22:18:09,22,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/1/2022,182,23:38:05,23,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/2/2022,183,13:52:37,13,Carse Brook,,24,Angler,Angler,1,1,0,0,
7/2/2022,183,0:49:49,0,Carse Brook,,22,Raccoon,Raccoon,6,1,1,0,
7/2/2022,183,2:01:38,2,Carse Brook,,21,Raccoon,Raccoon,6,1,1,0,
7/2/2022,183,2:05:41,2,Carse Brook,,21,Raccoon,Raccoon,6,1,1,0,
7/2/2022,183,23:39:23,23,Carse Brook,,18,Raccoon,Raccoon,6,1,1,0,
7/3/2022,184,20:04:55,20,Carse Brook,,21,Angler,Angler,1,1,0,0,
7/3/2022,184,20:08:35,20,Carse Brook,,21,Angler,Angler,1,1,0,0,
7/3/2022,184,3:18:16,3,Carse Brook,,17,Raccoon,Raccoon,6,1,1,0,
7/4/2022,185,18:52:57,18,Carse Brook,,23,Angler,Angler,1,1,0,0,
7/4/2022,185,18:53:51,18,Carse Brook,,23,Angler,Angler,1,1,0,0,
7/4/2022,185,23:59:05,23,Carse Brook,,16,Raccoon,Raccoon,6,1,1,0,
